Response_ID,Release Period,State,Facility ID,Completed Surveys,Response Rate (%)
1,07_2015,AL,10001,300 or more,27
2,07_2015,AL,10005,300 or more,37
3,07_2015,AL,10006,300 or more,25
4,07_2015,AL,10007,Between 100 and 299,30
5,07_2015,AL,10008,Fewer than 100,28
6,07_2015,AL,10011,300 or more,31
7,07_2015,AL,10012,300 or more,33
8,07_2015,AL,10016,300 or more,27
9,07_2015,AL,10018,Fewer than 100,45
10,07_2015,AL,10019,300 or more,26
11,07_2015,AL,10021,Between 100 and 299,30
12,07_2015,AL,10022,Fewer than 100,34
13,07_2015,AL,10023,300 or more,30
14,07_2015,AL,10024,300 or more,28
15,07_2015,AL,10029,300 or more,29
16,07_2015,AL,10032,Between 100 and 299,38
17,07_2015,AL,10033,300 or more,25
18,07_2015,AL,10034,300 or more,34
19,07_2015,AL,10035,300 or more,37
20,07_2015,AL,10036,300 or more,28
21,07_2015,AL,10038,300 or more,24
22,07_2015,AL,10039,300 or more,28
23,07_2015,AL,10040,300 or more,31
24,07_2015,AL,10044,Fewer than 100,26
25,07_2015,AL,10045,Between 100 and 299,31
26,07_2015,AL,10046,300 or more,24
27,07_2015,AL,10047,Between 100 and 299,33
28,07_2015,AL,10049,300 or more,29
29,07_2015,AL,10051,Fewer than 100,22
30,07_2015,AL,10052,Between 100 and 299,31
31,07_2015,AL,10054,Not Available,Not Available
32,07_2015,AL,10055,300 or more,37
33,07_2015,AL,10056,300 or more,33
34,07_2015,AL,10058,Fewer than 100,22
35,07_2015,AL,10059,Between 100 and 299,24
36,07_2015,AL,10061,300 or more,33
37,07_2015,AL,10062,Between 100 and 299,31
38,07_2015,AL,10065,300 or more,37
39,07_2015,AL,10069,Between 100 and 299,31
40,07_2015,AL,10073,Between 100 and 299,41
41,07_2015,AL,10078,300 or more,33
42,07_2015,AL,10079,300 or more,26
43,07_2015,AL,10083,300 or more,34
44,07_2015,AL,10085,300 or more,26
45,07_2015,AL,10086,Between 100 and 299,30
46,07_2015,AL,10087,300 or more,28
47,07_2015,AL,10089,300 or more,27
48,07_2015,AL,10090,300 or more,31
49,07_2015,AL,10091,Between 100 and 299,22
50,07_2015,AL,10092,300 or more,20
51,07_2015,AL,10095,Fewer than 100,31
52,07_2015,AL,10097,Between 100 and 299,33
53,07_2015,AL,10099,Between 100 and 299,26
54,07_2015,AL,10100,300 or more,42
55,07_2015,AL,10101,300 or more,25
56,07_2015,AL,10102,Fewer than 100,28
57,07_2015,AL,10103,300 or more,30
58,07_2015,AL,10104,300 or more,32
59,07_2015,AL,10108,300 or more,32
60,07_2015,AL,10109,Fewer than 100,17
61,07_2015,AL,10110,Fewer than 100,24
62,07_2015,AL,10112,Between 100 and 299,31
63,07_2015,AL,10113,300 or more,36
64,07_2015,AL,10114,300 or more,26
65,07_2015,AL,10118,300 or more,26
66,07_2015,AL,10120,Between 100 and 299,25
67,07_2015,AL,10125,Between 100 and 299,32
68,07_2015,AL,10126,Between 100 and 299,27
69,07_2015,AL,10128,Fewer than 100,27
70,07_2015,AL,10129,300 or more,31
71,07_2015,AL,10130,300 or more,36
72,07_2015,AL,10131,300 or more,36
73,07_2015,AL,10138,Fewer than 100,11
74,07_2015,AL,10139,300 or more,35
75,07_2015,AL,10144,300 or more,32
76,07_2015,AL,10146,Between 100 and 299,26
77,07_2015,AL,10148,Between 100 and 299,28
78,07_2015,AL,10149,300 or more,29
79,07_2015,AL,10150,Between 100 and 299,34
80,07_2015,AL,10157,300 or more,26
81,07_2015,AL,10158,300 or more,32
82,07_2015,AL,10164,300 or more,30
83,07_2015,AL,10168,300 or more,53
84,07_2015,AL,10169,300 or more,34
85,07_2015,AL,11300,Fewer than 100,29
86,07_2015,AL,11302,Fewer than 100,25
87,07_2015,AL,11304,Fewer than 100,36
88,07_2015,AL,13301,Not Available,Not Available
89,07_2015,AK,20001,300 or more,24
90,07_2015,AK,20006,300 or more,34
91,07_2015,AK,20008,Between 100 and 299,26
92,07_2015,AK,20012,300 or more,28
93,07_2015,AK,20017,300 or more,40
94,07_2015,AK,20018,Between 100 and 299,12
95,07_2015,AK,20026,300 or more,37
96,07_2015,AK,20027,Fewer than 100,23
97,07_2015,AK,21303,Not Available,Not Available
98,07_2015,AK,20024,300 or more,25
99,07_2015,AK,21301,Not Available,Not Available
100,07_2015,AK,21302,Not Available,Not Available
101,07_2015,AK,21304,Fewer than 100,19
102,07_2015,AK,21306,Between 100 and 299,22
103,07_2015,AK,21308,Not Available,Not Available
104,07_2015,AK,21309,Not Available,Not Available
105,07_2015,AK,21311,Between 100 and 299,23
106,07_2015,AZ,30001,300 or more,26
107,07_2015,AZ,30002,300 or more,29
108,07_2015,AZ,30006,300 or more,32
109,07_2015,AZ,30007,300 or more,39
110,07_2015,AK,21305,Fewer than 100,27
111,07_2015,AK,21307,Fewer than 100,15
112,07_2015,AK,21312,Fewer than 100,13
113,07_2015,AK,21313,Between 100 and 299,34
114,07_2015,AZ,30010,300 or more,35
115,07_2015,AZ,30011,300 or more,34
116,07_2015,AZ,30012,300 or more,43
117,07_2015,AZ,30013,300 or more,35
118,07_2015,AZ,30014,300 or more,27
119,07_2015,AZ,30016,300 or more,25
120,07_2015,AZ,30022,300 or more,10
121,07_2015,AZ,30023,300 or more,37
122,07_2015,AZ,30024,300 or more,20
123,07_2015,AZ,30030,300 or more,29
124,07_2015,AZ,30033,300 or more,35
125,07_2015,AZ,30036,300 or more,21
126,07_2015,AZ,30037,300 or more,25
127,07_2015,AZ,30038,300 or more,29
128,07_2015,AZ,30043,300 or more,26
129,07_2015,AZ,30055,300 or more,38
130,07_2015,AZ,30061,300 or more,36
131,07_2015,AZ,30062,300 or more,21
132,07_2015,AZ,30064,300 or more,25
133,07_2015,AZ,30065,300 or more,30
134,07_2015,AZ,30068,Between 100 and 299,37
135,07_2015,AZ,30069,300 or more,34
136,07_2015,AZ,30071,Between 100 and 299,15
137,07_2015,AZ,30073,Between 100 and 299,40
138,07_2015,AZ,30074,Not Available,Not Available
139,07_2015,AZ,30077,Fewer than 100,77
140,07_2015,AZ,30078,300 or more,26
141,07_2015,AZ,30083,300 or more,28
142,07_2015,AZ,30084,Between 100 and 299,13
143,07_2015,AZ,30085,300 or more,31
144,07_2015,AZ,30087,300 or more,30
145,07_2015,AZ,30088,300 or more,33
146,07_2015,AZ,30089,300 or more,28
147,07_2015,AZ,30092,300 or more,28
148,07_2015,AZ,30093,300 or more,30
149,07_2015,AZ,30094,300 or more,32
150,07_2015,AZ,30101,300 or more,33
151,07_2015,AZ,30103,300 or more,37
152,07_2015,AZ,30105,300 or more,37
153,07_2015,AZ,30107,300 or more,59
154,07_2015,AZ,30108,300 or more,49
155,07_2015,AZ,30110,300 or more,28
156,07_2015,AZ,30111,300 or more,20
157,07_2015,AZ,30112,Between 100 and 299,56
158,07_2015,AZ,30113,Fewer than 100,24
159,07_2015,AZ,30114,300 or more,36
160,07_2015,AZ,30115,300 or more,30
161,07_2015,AZ,30117,300 or more,28
162,07_2015,AZ,30118,300 or more,30
163,07_2015,AZ,30119,300 or more,25
164,07_2015,AZ,30120,Fewer than 100,21
165,07_2015,AZ,30121,300 or more,25
166,07_2015,AZ,30122,300 or more,31
167,07_2015,AZ,30123,300 or more,35
168,07_2015,AZ,30130,300 or more,30
169,07_2015,AZ,30131,300 or more,54
170,07_2015,AZ,30132,Fewer than 100,23
171,07_2015,AZ,30134,Between 100 and 299,30
172,07_2015,AZ,31300,Between 100 and 299,44
