Dim_09_id,value_dim09
Dim_09_001,100202
Dim_09_002,50334
Dim_09_003,30004
Dim_09_004,340040
Dim_09_005,50223
Dim_09_006,450050
Dim_09_007,200022
Dim_09_008,223232
Dim_09_009,318726.11
Dim_09_010,349440.05
Dim_09_011,380153.99
Dim_09_012,410867.93
Dim_09_013,441581.87
Dim_09_014,472295.81
Dim_09_015,503009.75
Dim_09_016,533723.69
Dim_09_017,564437.63
Dim_09_018,595151.57
Dim_09_019,625865.51
Dim_09_020,656579.45
Dim_09_021,687293.39
Dim_09_022,718007.33
Dim_09_023,748721.27
Dim_09_024,779435.21
Dim_09_025,810149.15
Dim_09_026,840863.1
Dim_09_027,871577.04
Dim_09_028,902290.98
Dim_09_029,933004.92
Dim_09_030,963718.86
Dim_09_031,994432.8
Dim_09_032,1025146.74
Dim_09_033,1055860.68
Dim_09_034,1086574.62
Dim_09_035,1117288.56
Dim_09_036,1148002.5
Dim_09_037,1178716.44
Dim_09_038,1209430.38
Dim_09_039,1240144.32
Dim_09_040,1270858.26
Dim_09_041,1301572.2
Dim_09_042,1332286.14
Dim_09_043,1363000.08
Dim_09_044,1393714.02
Dim_09_045,1424427.96
Dim_09_046,1455141.9
Dim_09_047,1485855.85
Dim_09_048,1516569.79
Dim_09_049,1547283.73
Dim_09_050,1577997.67
Dim_09_051,1608711.61
Dim_09_052,1639425.55
Dim_09_053,1670139.49
Dim_09_054,1700853.43
Dim_09_055,1731567.37
Dim_09_056,1762281.31
Dim_09_057,1792995.25
Dim_09_058,1823709.19
Dim_09_059,1854423.13
Dim_09_060,1885137.07
Dim_09_061,1915851.01
Dim_09_062,1946564.95
Dim_09_063,1977278.89
Dim_09_064,2007992.83
Dim_09_065,2038706.77
Dim_09_066,2069420.71
Dim_09_067,2100134.65
Dim_09_068,2130848.6
Dim_09_069,2161562.54
Dim_09_070,2192276.48
Dim_09_071,2222990.42
Dim_09_072,2253704.36
Dim_09_073,2284418.3
Dim_09_074,2315132.24
Dim_09_075,2345846.18
Dim_09_076,2376560.12
Dim_09_077,2407274.06
Dim_09_078,2437988
Dim_09_079,2468701.94
