License_ID,State,Latitude
License_001,Auckland (7),-36.84959959
License_002,Bay Of Plenty (2),-37.98291543
License_003,Canterbury (4),-43.89790322
License_004,Gisborne (3),-39.63821491
License_005,Manawatu Wanganui (6),-41.13548786
License_006,Marlborough (1),-41.52099404
License_007,Nelson (1),-41.29258421
License_008,Northland (1),-35.71995278
License_009,Otago (3),-45.09731321
License_010,Southland (1),-46.40942951
License_011,Taranaki (1),-39.0641931
License_012,Auckland (7),-43.00248031
License_013,Bay Of Plenty (2),-43.37246055
License_014,Auckland (7),-43.74244078
License_015,Bay Of Plenty (2),-44.11242102
License_016,Canterbury (4),-44.48240125
License_017,Gisborne (3),-44.85238149
License_018,Manawatu Wanganui (6),-45.22236173
License_019,Marlborough (1),-45.59234196
License_020,Nelson (1),-45.9623222
License_021,Northland (1),-46.33230243
License_022,Otago (3),-46.70228267
License_023,Southland (1),-47.0722629
License_024,Taranaki (1),-47.44224314
License_025,Auckland (7),-47.81222338
License_026,Bay Of Plenty (2),-48.18220361
License_027,Auckland (7),-48.55218385
License_028,Bay Of Plenty (2),-48.92216408
License_029,Canterbury (4),-49.29214432
License_030,Gisborne (3),-49.66212455
License_031,Manawatu Wanganui (6),-50.03210479
License_032,Marlborough (1),-50.40208503
License_033,Nelson (1),-50.77206526
License_034,Northland (1),-51.1420455
License_035,Otago (3),-51.51202573
License_036,Southland (1),-51.88200597
License_037,Taranaki (1),-52.2519862
License_038,Auckland (7),-52.62196644
License_039,Bay Of Plenty (2),-52.99194668
License_040,Auckland (7),-53.36192691
License_041,Bay Of Plenty (2),-53.73190715
License_042,Canterbury (4),-54.10188738
License_043,Gisborne (3),-54.47186762
License_044,Manawatu Wanganui (6),-54.84184785
License_045,Marlborough (1),-55.21182809
License_046,Nelson (1),-55.58180833
License_047,Northland (1),-55.95178856
License_048,Otago (3),-56.3217688
License_049,Southland (1),-56.69174903
License_050,Taranaki (1),-57.06172927
License_051,Auckland (7),-57.4317095
License_052,Bay Of Plenty (2),-57.80168974
License_053,Auckland (7),-58.17166998
License_054,Bay Of Plenty (2),-58.54165021
License_055,Canterbury (4),-58.91163045
License_056,Gisborne (3),-59.28161068
License_057,Manawatu Wanganui (6),-59.65159092
License_058,Marlborough (1),-60.02157115
License_059,Nelson (1),-60.39155139
License_060,Northland (1),-60.76153163
License_061,Otago (3),-61.13151186
License_062,Southland (1),-61.5014921
License_063,Taranaki (1),-61.87147233
License_064,Auckland (7),-62.24145257
License_065,Bay Of Plenty (2),-62.6114328
License_066,Auckland (7),-62.98141304
License_067,Bay Of Plenty (2),-63.35139328
License_068,Canterbury (4),-63.72137351
License_069,Gisborne (3),-64.09135375
License_070,Manawatu Wanganui (6),-64.46133398
License_071,Marlborough (1),-64.83131422
License_072,Nelson (1),-65.20129445
License_073,Northland (1),-65.57127469
License_074,Otago (3),-65.94125493
License_075,Southland (1),-66.31123516
License_076,Taranaki (1),-66.6812154
License_077,Auckland (7),-67.05119563
License_078,Bay Of Plenty (2),-67.42117587
License_079,Auckland (7),-67.7911561
License_080,Bay Of Plenty (2),-68.16113634
License_081,Canterbury (4),-68.53111658
License_082,Gisborne (3),-68.90109681
License_083,Manawatu Wanganui (6),-69.27107705
License_084,Marlborough (1),-69.64105728
License_085,Nelson (1),-70.01103752
License_086,Northland (1),-70.38101775
License_087,Otago (3),-70.75099799
License_088,Southland (1),-71.12097823
License_089,Taranaki (1),-71.49095846
License_090,Auckland (7),-71.8609387
License_091,Bay Of Plenty (2),-72.23091893
License_092,Auckland (7),-72.60089917
License_093,Bay Of Plenty (2),-72.9708794
License_094,Canterbury (4),-73.34085964
License_095,Gisborne (3),-73.71083988
License_096,Manawatu Wanganui (6),-74.08082011
License_097,Marlborough (1),-74.45080035
License_098,Nelson (1),-74.82078058
License_099,Northland (1),-75.19076082
License_100,Otago (3),-75.56074105
License_101,Southland (1),-75.93072129
License_102,Taranaki (1),-76.30070153
License_103,Auckland (7),-76.67068176
License_104,Bay Of Plenty (2),-77.040662
License_105,Auckland (7),-77.41064223
License_106,Bay Of Plenty (2),-77.78062247
License_107,Canterbury (4),-78.1506027
License_108,Gisborne (3),-78.52058294
License_109,Manawatu Wanganui (6),-78.89056318
License_110,Marlborough (1),-79.26054341
License_111,Nelson (1),-79.63052365
License_112,Northland (1),-80.00050388
License_113,Otago (3),-80.37048412
License_114,Southland (1),-80.74046435
License_115,Taranaki (1),-81.11044459
License_116,Auckland (7),-81.48042483
License_117,Bay Of Plenty (2),-81.85040506
License_118,Auckland (7),-82.2203853
License_119,Bay Of Plenty (2),-82.59036553
License_120,Canterbury (4),-82.96034577
License_121,Gisborne (3),-83.330326
License_122,Manawatu Wanganui (6),-83.70030624
License_123,Marlborough (1),-84.07028648
License_124,Nelson (1),-84.44026671
License_125,Northland (1),-84.81024695
License_126,Otago (3),-85.18022718
License_127,Southland (1),-85.55020742
License_128,Taranaki (1),-85.92018766
License_129,Auckland (7),-86.29016789
License_130,Bay Of Plenty (2),-86.66014813
License_131,Auckland (7),-87.03012836
License_132,Bay Of Plenty (2),-87.4001086
License_133,Canterbury (4),-87.77008883
License_134,Gisborne (3),-88.14006907
License_135,Manawatu Wanganui (6),-88.51004931
License_136,Marlborough (1),-88.88002954
License_137,Nelson (1),-89.25000978
License_138,Northland (1),-89.61999001
License_139,Auckland (7),-89.98997025
License_140,Bay Of Plenty (2),-90.35995048
License_141,Canterbury (4),-90.72993072
License_142,Gisborne (3),-91.09991096
License_143,Manawatu Wanganui (6),-91.46989119
License_144,Marlborough (1),-91.83987143
License_145,Nelson (1),-92.20985166
License_146,Northland (1),-92.5798319
License_147,Otago (3),-92.94981213
License_148,Southland (1),-93.31979237
License_149,Taranaki (1),-93.68977261
License_150,Auckland (7),-94.05975284
License_151,Bay Of Plenty (2),-94.42973308
License_152,Auckland (7),-94.79971331
License_153,Bay Of Plenty (2),-95.16969355
License_154,Canterbury (4),-95.53967378
License_155,Gisborne (3),-95.90965402
License_156,Manawatu Wanganui (6),-96.27963426
License_157,Marlborough (1),-96.64961449
License_158,Nelson (1),-97.01959473
License_159,Northland (1),-97.38957496
License_160,Otago (3),-97.7595552
License_161,Southland (1),-98.12953543
License_162,Taranaki (1),-98.49951567
License_163,Auckland (7),-98.86949591
License_164,Bay Of Plenty (2),-99.23947614
License_165,Auckland (7),-99.60945638
License_166,Bay Of Plenty (2),-99.97943661
License_167,Canterbury (4),-100.3494168
License_168,Gisborne (3),-100.7193971
License_169,Manawatu Wanganui (6),-101.0893773
License_170,Marlborough (1),-101.4593576
License_171,Nelson (1),-101.8293378
License_172,Northland (1),-102.199318
License_173,Otago (3),-102.5692983
License_174,Southland (1),-102.9392785
License_175,Taranaki (1),-103.3092587
License_176,Auckland (7),-103.679239
License_177,Bay Of Plenty (2),-104.0492192
License_178,Auckland (7),-104.4191994
License_179,Bay Of Plenty (2),-104.7891797
License_180,Canterbury (4),-105.1591599
License_181,Gisborne (3),-105.5291401
License_182,Manawatu Wanganui (6),-105.8991204
License_183,Marlborough (1),-106.2691006
License_184,Nelson (1),-106.6390809
License_185,Northland (1),-107.0090611
License_186,Otago (3),-107.3790413
License_187,Southland (1),-107.7490216
License_188,Taranaki (1),-108.1190018
License_189,Auckland (7),-108.488982
License_190,Bay Of Plenty (2),-108.8589623
License_191,Auckland (7),-109.2289425
License_192,Bay Of Plenty (2),-109.5989227
License_193,Canterbury (4),-109.968903
License_194,Gisborne (3),-110.3388832
License_195,Manawatu Wanganui (6),-110.7088634
License_196,Marlborough (1),-111.0788437
License_197,Nelson (1),-111.4488239
License_198,Northland (1),-111.8188042
License_199,Otago (3),-112.1887844
License_200,Southland (1),-112.5587646
License_201,Taranaki (1),-112.9287449
License_202,Auckland (7),-113.2987251
License_203,Bay Of Plenty (2),-113.6687053
License_204,Auckland (7),-114.0386856
License_205,Bay Of Plenty (2),-114.4086658
License_206,Canterbury (4),-114.778646
License_207,Gisborne (3),-115.1486263
License_208,Manawatu Wanganui (6),-115.5186065
License_209,Marlborough (1),-115.8885867
License_210,Nelson (1),-116.258567
License_211,Northland (1),-116.6285472
License_212,Otago (3),-116.9985275
