price_id,price
price_1,100202.00
price_2,50334.00
price_3,30004.00
price_4,340040.00
price_5,50223.00
price_6,450050.00
price_7,200022.00
price_8,223232.00
price_9,318726.11
price_10,349440.05
price_11,380153.99
price_12,410867.93
price_13,441581.87
price_14,472295.81
price_15,503009.75
price_16,533723.69
price_17,564437.63
price_18,595151.57
price_19,625865.51
price_20,656579.45
price_21,687293.39
price_22,718007.33
price_23,748721.27
price_24,779435.21
price_25,810149.15
price_26,840863.10
price_27,871577.04
price_28,902290.98
price_29,933004.92
price_30,963718.86
price_31,994432.80
price_32,1025146.74
price_33,1055860.68
price_34,1086574.62
price_35,1117288.56
price_36,1148002.50
price_37,1178716.44
price_38,1209430.38
price_39,1240144.32
price_40,1270858.26
price_41,1301572.20
price_42,1332286.14
price_43,1363000.08
price_44,1393714.02
price_45,1424427.96
price_46,1455141.90
price_47,1485855.85
price_48,1516569.79
price_49,1547283.73
price_50,1577997.67
price_51,1608711.61
price_52,1639425.55
price_53,1670139.49
price_54,1700853.43
price_55,1731567.37
price_56,1762281.31
price_57,1792995.25
price_58,1823709.19
price_59,1854423.13
price_60,1885137.07
price_61,1915851.01
price_62,1946564.95
price_63,1977278.89
price_64,2007992.83
price_65,2038706.77
price_66,2069420.71
price_67,2100134.65
price_68,2130848.60
price_69,2161562.54
price_70,2192276.48
price_71,2222990.42
price_72,2253704.36
price_73,2284418.30
price_74,2315132.24
price_75,2345846.18
price_76,2376560.12
price_77,2407274.06
price_78,2437988.00
price_79,2468701.94
price_80,2499415.88
price_81,2530129.82
price_82,2560843.76
price_83,2591557.70
price_84,2622271.64
price_85,2652985.58
price_86,2683699.52
price_87,2714413.46
price_88,2745127.40
price_89,2775841.35
price_90,2806555.29
price_91,2837269.23
price_92,2867983.17
price_93,2898697.11
price_94,2929411.05
price_95,2960124.99
price_96,2990838.93
price_97,3021552.87
price_98,3052266.81
price_99,3082980.75
price_100,3113694.69
price_101,3144408.63
price_102,3175122.57
price_103,3205836.51
price_104,3236550.45
price_105,3267264.39
price_106,3297978.33
price_107,3328692.27
price_108,3359406.21
price_109,3390120.15
price_110,3420834.10
price_111,3451548.04
price_112,3482261.98
price_113,3512975.92
price_114,3543689.86
price_115,3574403.80
price_116,3605117.74
price_117,3635831.68
price_118,3666545.62
price_119,3697259.56
price_120,3727973.50
price_121,3758687.44
price_122,3789401.38
price_123,3820115.32
price_124,3850829.26
price_125,3881543.20
price_126,3912257.14
price_127,3942971.08
price_128,3973685.02
price_129,4004398.96
price_130,4035112.90
price_131,4065826.85
price_132,4096540.79
price_133,4127254.73
price_134,4157968.67
price_135,4188682.61
price_136,4219396.55
price_137,4250110.49
price_138,4280824.43
price_139,4311538.37
price_140,4342252.31
price_141,4372966.25
price_142,4403680.19
price_143,4434394.13
price_144,4465108.07
price_145,4495822.01
price_146,4526535.95
price_147,4557249.89
price_148,4587963.83
price_149,4618677.77
price_150,4649391.71
price_151,4680105.65
price_152,4710819.60
price_153,4741533.54
price_154,4772247.48
price_155,4802961.42
price_156,4833675.36
price_157,4864389.30
price_158,4895103.24
price_159,4925817.18
price_160,4956531.12
price_161,4987245.06
price_162,5017959.00
price_163,5048672.94
price_164,5079386.88
price_165,5110100.82
price_166,5140814.76
price_167,5171528.70
price_168,5202242.64
price_169,5232956.58
price_170,5263670.52
price_171,5294384.46
price_172,5325098.40
price_173,5355812.35
price_174,5386526.29
price_175,5417240.23
price_176,5447954.17
price_177,5478668.11
price_178,5509382.05
price_179,5540095.99
price_180,5570809.93
price_181,5601523.87
price_182,5632237.81
price_183,5662951.75
price_184,5693665.69
price_185,5724379.63
price_186,5755093.57
price_187,5785807.51
price_188,5816521.45
price_189,5847235.39
price_190,5877949.33
price_191,5908663.27
price_192,5939377.21
price_193,5970091.15
price_194,6000805.10
price_195,6031519.04
price_196,6062232.98
price_197,6092946.92
price_198,6123660.86
price_199,6154374.80
price_200,6185088.74
price_201,6215802.68
price_202,6246516.62
price_203,6277230.56
price_204,6307944.50
price_205,6338658.44
price_206,6369372.38
price_207,6400086.32
price_208,6430800.26
price_209,6461514.20
price_210,6492228.14
price_211,6522942.08
price_212,6553656.02
price_213,6584369.96
price_214,6615083.90
price_215,6645797.85
price_216,6676511.79
price_217,6707225.73
price_218,6737939.67
price_219,6768653.61
price_220,6799367.55
price_221,6830081.49
price_222,6860795.43
price_223,6891509.37
price_224,6922223.31
price_225,6952937.25
price_226,6983651.19
price_227,7014365.13
price_228,7045079.07
price_229,7075793.01
price_230,7106506.95
price_231,7137220.89
price_232,7167934.83
price_233,7198648.77
price_234,7229362.71
price_235,7260076.65
price_236,7290790.60
price_237,7321504.54
price_238,7352218.48
price_239,7382932.42
price_240,7413646.36
price_241,7444360.30
price_242,7475074.24
price_243,7505788.18
price_244,7536502.12
price_245,7567216.06
price_246,7597930.00
price_247,7628643.94
price_248,7659357.88
price_249,7690071.82
price_250,7720785.76
price_251,7751499.70
price_252,7782213.64
price_253,7812927.58
price_254,7843641.52
price_255,7874355.46
price_256,7905069.40
price_257,7935783.35
price_258,7966497.29
price_259,7997211.23
price_260,8027925.17
price_261,8058639.11
price_262,8089353.05
price_263,8120066.99
price_264,8150780.93
price_265,8181494.87
price_266,8212208.81
