vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,owner_id,price_id,Engine_ID,License_ID
1,Trailer,623,2021,BST2021D,Silver,11/5/2021,102,Owner1,price_1,Engine_001,License_001
2,Boat Trailer,623,2021,OUTBACK BOATS FT470,Silver,12/13/2021,105,Owner2,price_2,Engine_002,License_002
3,Boat Trailer,623,2021,ASD JETSKI,Silver,2/13/2022,102,Owner3,price_3,Engine_003,License_003
4,Trailer,623,2021,MSC 7X4,Silver,11/13/2021,106,Owner4,price_4,Engine_004,License_004
5,Trailer,623,2018,D-MAX 8X5,Silver,1/10/2022,102,Owner5,price_5,Engine_005,License_005
6,Roadbike,636,2005,YZF-R6T,Black,12/31/2021,102,Owner6,price_6,Engine_006,License_006
7,Trailer,623,2021,CAAR TRANSPORTER,Silver,11/12/2021,114,Owner7,price_7,Engine_007,License_007
8,Boat Trailer,623,2001,BOAT,Silver,2/22/2022,109,Owner8,price_8,Engine_008,License_008
9,Trailer,514,2021,"7X4-6"" 1000KG",Silver,2/25/2022,115,Owner9,price_9,Engine_009,License_009
10,Trailer,514,2020,8X4 TANDEM,Silver,1/3/2022,114,Owner10,price_10,Engine_010,License_010
11,Trailer,623,2018,HOMEBUILT,Silver,10/15/2021,108,Owner11,price_11,Engine_011,License_011
12,Trailer,538,2018,BRENT SMITH TRAILERS,Silver,2/28/2022,110,Owner12,price_12,Engine_012,License_012
13,Moped,629,2004,ET2,Black,12/19/2021,102,Owner13,price_13,Engine_013,License_013
14,Moped,550,2007,TODAY,Blue,1/23/2022,112,Owner14,price_14,Engine_014,License_014
15,Roadbike,611,2007,DL650,Black,2/28/2022,101,Owner15,price_15,Engine_015,License_015
16,Trailer,623,2021,JOBMATE,Silver,2/8/2022,109,Owner16,price_16,Engine_016,License_016
17,Trailer,623,2021,BSTB85B,Silver,10/10/2021,102,Owner17,price_17,Engine_017,License_017
18,Boat Trailer,623,2004,BOAT,White,10/7/2021,104,Owner18,price_18,Engine_018,License_018
19,Trailer,623,2014,DOMESTIC TRAILER,White,2/24/2022,113,Owner19,price_19,Engine_019,License_019
20,Boat Trailer,623,2018,APS SEADOO,Silver,11/8/2021,114,Owner20,price_20,Engine_020,License_020
21,Roadbike,625,2002,THUNDERBIRD,Silver,2/11/2022,101,Owner21,price_21,Engine_021,License_021
22,Trailer,538,2000,BRENT SMITH TRAILERS,Silver,11/22/2021,104,Owner22,price_22,Engine_022,License_022
23,Trailer,623,2015,LOCAL,Silver,1/27/2022,114,Owner23,price_23,Engine_023,License_023
24,Trailer - Heavy,623,2021,CT DIG 25,Silver,11/12/2021,102,Owner24,price_24,Engine_024,License_024
25,Trailer,623,2018,CHOOKS 2.4X1.6 TRANS,Silver,10/8/2021,106,Owner25,price_25,Engine_025,License_025
26,Trailer,623,2017,EASY TILT,Silver,3/4/2022,108,Owner26,price_26,Engine_026,License_026
27,Trailer,623,2018,IFOR WILLIAMS CT177,Silver,2/27/2022,103,Owner27,price_27,Engine_027,License_027
28,Trailer,623,2018,CONDOR,Silver,2/1/2022,109,Owner28,price_28,Engine_028,License_028
29,Trailer,623,2018,HOMEBUILT,Silver,11/1/2021,104,Owner29,price_29,Engine_029,License_029
30,Trailer,623,2018,PRO COMMERCIAL,Silver,12/21/2021,102,Owner30,price_30,Engine_030,License_030
31,Trailer,623,2018,FACTORY,Grey,1/3/2022,102,Owner31,price_31,Engine_031,License_031
32,Trailer,549,1998,TRAILER,Green,10/21/2021,114,Owner32,price_32,Engine_032,License_032
33,Boat Trailer,623,2017,JFK JETSKI,Grey,2/15/2022,104,Owner33,price_33,Engine_033,License_033
34,Trailer,623,2021,BST 2021D,Silver,1/5/2022,102,Owner34,price_34,Engine_034,License_034
35,Trailer,514,2021,TANDEM,Silver,4/5/2022,114,Owner35,price_35,Engine_035,License_035
36,Trailer,623,2018,HOMEMADE,Grey,2/17/2022,103,Owner36,price_36,Engine_036,License_036
37,Trailer,623,2018,COMPASS-KH63,Silver,2/23/2022,102,Owner37,price_37,Engine_037,License_037
38,Trailer,623,2018,TRAYLA,Silver,1/17/2022,109,Owner38,price_38,Engine_038,License_038
39,Trailer - Heavy,623,2021,PRESCOTT,Silver,12/3/2021,104,Owner39,price_39,Engine_039,License_039
40,Trailer,549,2021,TRAILER,Black,12/27/2021,109,Owner40,price_40,Engine_040,License_040
41,Trailer,623,2021,TRAYLA,Silver,3/2/2022,106,Owner41,price_41,Engine_041,License_041
42,Trailer,623,2002,HOMEMADE,Silver,1/2/2022,102,Owner42,price_42,Engine_042,License_042
43,Boat Trailer,623,2018,BST58OR,Silver,2/24/2022,102,Owner43,price_43,Engine_043,License_043
44,Trailer,549,2018,TRAILER,Silver,2/28/2022,114,Owner44,price_44,Engine_044,License_044
45,Trailer,623,2014,DOMESTIC TRAILER,Silver,10/19/2021,104,Owner45,price_45,Engine_045,License_045
46,Moped,538,2005,TGB PALIO,Silver,11/9/2021,106,Owner46,price_46,Engine_046,License_046
47,Trailer - Heavy,623,2004,TANDEM,Grey,11/5/2021,102,Owner47,price_47,Engine_047,License_047
48,Trailer,527,2021,TRAILER,Silver,3/2/2022,102,Owner48,price_48,Engine_048,License_048
49,Trailer,623,2021,DOMESTIC,Grey,10/22/2021,102,Owner49,price_49,Engine_049,License_049
50,Trailer,623,2021,M J TANDEM AXLE,Silver,1/20/2022,114,Owner50,price_50,Engine_050,License_050
51,Trailer,514,2021,8X4 CAGE,Silver,12/7/2021,102,Owner51,price_51,Engine_051,License_051
52,Caravan,537,2003,RIVIERA 482,White,10/13/2021,114,Owner52,price_52,Engine_052,License_052
53,Roadbike,636,1995,XTZ660BG,Blue,3/21/2022,111,Owner53,price_53,Engine_053,License_053
54,Roadbike,561,1999,NINJA,Green,2/15/2022,104,Owner54,price_54,Engine_054,License_054
55,Trailer - Heavy,623,2021,PRESCOTT,Silver,2/6/2022,104,Owner55,price_55,Engine_055,License_055
56,Trailer - Heavy,623,2000,BRIFORD,Yellow,3/5/2022,102,Owner56,price_56,Engine_056,License_056
57,Boat Trailer,623,2021,ASD JETSKI,Silver,2/21/2022,102,Owner57,price_57,Engine_057,License_057
58,Trailer,623,1997,BRIFORD 8X4-6COVERED,Yellow,11/5/2021,105,Owner58,price_58,Engine_058,License_058
59,Trailer,623,2021,HOMEBUILT,Black,3/6/2022,102,Owner59,price_59,Engine_059,License_059
60,Trailer,623,1983,OLEARY,Red,1/2/2022,108,Owner60,price_60,Engine_060,License_060
61,Trailer,623,2021,TRAILERWORLD 9X5 HSB,Silver,3/26/2022,102,Owner61,price_61,Engine_061,License_061
62,Trailer,623,2018,SINGLE AXLE,Silver,10/10/2021,102,Owner62,price_62,Engine_062,License_062
63,Moped,550,2008,TODAY 50,Yellow,12/19/2021,104,Owner63,price_63,Engine_063,License_063
64,Trailer,623,2018,IFOR WILLIAMS,Black,1/6/2022,104,Owner64,price_64,Engine_064,License_064
65,Trailer,623,2014,PRESCOTT,Silver,3/24/2022,104,Owner65,price_65,Engine_065,License_065
66,Boat Trailer,623,2014,SPORTLINE,Silver,10/21/2021,105,Owner66,price_66,Engine_066,License_066
67,Hatchback,540,2006,FOCUS,Blue,11/13/2021,105,Owner67,price_67,Engine_067,License_067
68,Trailer - Heavy,623,2014,TILTING FLAT DECK,Silver,11/8/2021,105,Owner68,price_68,Engine_068,License_068
69,Trailer,623,2014,PMTRAILER,Silver,1/24/2022,114,Owner69,price_69,Engine_069,License_069
70,Boat Trailer,551,2014,BOAT TRAILER,Silver,4/4/2022,103,Owner70,price_70,Engine_070,License_070
71,Trailer,623,2014,TRAYLA,Silver,2/24/2022,107,Owner71,price_71,Engine_071,License_071
72,Trailer,623,2014,ELITE,Silver,2/4/2022,102,Owner72,price_72,Engine_072,License_072
73,Trailer,623,2014,ELITE 7X4,Silver,1/14/2022,114,Owner73,price_73,Engine_073,License_073
74,Caravan,591,1969,PIONEER,White,11/27/2021,104,Owner74,price_74,Engine_074,License_074
75,Saloon,512,2007,323I,White,3/23/2022,102,Owner75,price_75,Engine_075,License_075
76,Trailer,623,2015,7 X 4 STD,Silver,1/5/2022,102,Owner76,price_76,Engine_076,License_076
77,Trailer,623,2011,HOMEBUILT,Grey,4/2/2022,102,Owner77,price_77,Engine_077,License_077
78,Boat Trailer,623,2015,ENDURO,Silver,1/6/2022,104,Owner78,price_78,Engine_078,License_078
79,Trailer,623,2015,TRAYLA,Silver,2/28/2022,106,Owner79,price_79,Engine_079,License_079
80,Trailer,623,2015,ELITE 8X5,Silver,1/14/2022,114,Owner80,price_80,Engine_080,License_080
81,Trailer,623,2015,COMPASS D105,Silver,10/18/2021,102,Owner81,price_81,Engine_081,License_081
82,Trailer,623,2015,DOMESTIC TRAILER,Silver,3/16/2022,103,Owner82,price_82,Engine_082,License_082
83,Trailer - Heavy,623,1998,TANK,White,1/18/2022,104,Owner83,price_83,Engine_083,License_083
84,Stationwagon,507,2015,ALLROAD,Silver,4/3/2022,109,Owner84,price_84,Engine_084,License_084
85,Trailer,623,2015,ELITE 8X4,Silver,1/4/2022,114,Owner85,price_85,Engine_085,License_085
