Dim_05_id,value_dim05
Dim_05_001,100202
Dim_05_002,50334
Dim_05_003,30004
Dim_05_004,340040
Dim_05_005,50223
Dim_05_006,450050
Dim_05_007,200022
Dim_05_008,223232
Dim_05_009,318726.11
Dim_05_010,349440.05
Dim_05_011,380153.99
Dim_05_012,410867.93
Dim_05_013,441581.87
Dim_05_014,472295.81
Dim_05_015,503009.75
Dim_05_016,533723.69
Dim_05_017,564437.63
Dim_05_018,595151.57
Dim_05_019,625865.51
Dim_05_020,656579.45
Dim_05_021,687293.39
Dim_05_022,718007.33
Dim_05_023,748721.27
Dim_05_024,779435.21
Dim_05_025,810149.15
Dim_05_026,840863.1
Dim_05_027,871577.04
Dim_05_028,902290.98
Dim_05_029,933004.92
Dim_05_030,963718.86
Dim_05_031,994432.8
Dim_05_032,1025146.74
Dim_05_033,1055860.68
Dim_05_034,1086574.62
Dim_05_035,1117288.56
Dim_05_036,1148002.5
Dim_05_037,1178716.44
Dim_05_038,1209430.38
Dim_05_039,1240144.32
Dim_05_040,1270858.26
Dim_05_041,1301572.2
Dim_05_042,1332286.14
Dim_05_043,1363000.08
Dim_05_044,1393714.02
Dim_05_045,1424427.96
Dim_05_046,1455141.9
Dim_05_047,1485855.85
Dim_05_048,1516569.79
Dim_05_049,1547283.73
Dim_05_050,1577997.67
Dim_05_051,1608711.61
Dim_05_052,1639425.55
Dim_05_053,1670139.49
Dim_05_054,1700853.43
Dim_05_055,1731567.37
Dim_05_056,1762281.31
Dim_05_057,1792995.25
Dim_05_058,1823709.19
Dim_05_059,1854423.13
Dim_05_060,1885137.07
Dim_05_061,1915851.01
Dim_05_062,1946564.95
Dim_05_063,1977278.89
Dim_05_064,2007992.83
Dim_05_065,2038706.77
Dim_05_066,2069420.71
Dim_05_067,2100134.65
Dim_05_068,2130848.6
Dim_05_069,2161562.54
Dim_05_070,2192276.48
Dim_05_071,2222990.42
Dim_05_072,2253704.36
Dim_05_073,2284418.3
Dim_05_074,2315132.24
Dim_05_075,2345846.18
Dim_05_076,2376560.12
Dim_05_077,2407274.06
Dim_05_078,2437988
Dim_05_079,2468701.94
Dim_05_080,2499415.88
Dim_05_081,2530129.82
Dim_05_082,2560843.76
Dim_05_083,2591557.7
Dim_05_084,2622271.64
Dim_05_085,2652985.58
Dim_05_086,2683699.52
Dim_05_087,2714413.46
Dim_05_088,2745127.4
Dim_05_089,2775841.35
Dim_05_090,2806555.29
Dim_05_091,2837269.23
Dim_05_092,2867983.17
Dim_05_093,2898697.11
Dim_05_094,2929411.05
Dim_05_095,2960124.99
Dim_05_096,2990838.93
Dim_05_097,3021552.87
Dim_05_098,3052266.81
Dim_05_099,3082980.75
Dim_05_100,3113694.69
Dim_05_1000,30756241.12
Dim_05_1001,30786955.06
Dim_05_1002,30817669
Dim_05_1003,30848382.94
Dim_05_1004,30879096.88
Dim_05_1005,30909810.82
Dim_05_1006,30940524.76
Dim_05_1007,30971238.7
Dim_05_1008,31001952.64
Dim_05_1009,31032666.58
Dim_05_101,3144408.63
Dim_05_1010,31063380.52
Dim_05_1011,31094094.46
Dim_05_1012,31124808.4
Dim_05_1013,31155522.35
Dim_05_1014,31186236.29
Dim_05_1015,31216950.23
Dim_05_1016,31247664.17
Dim_05_1017,31278378.11
Dim_05_1018,31309092.05
Dim_05_1019,31339805.99
Dim_05_102,3175122.57
Dim_05_1020,31370519.93
Dim_05_1021,31401233.87
Dim_05_1022,31431947.81
Dim_05_1023,31462661.75
Dim_05_1024,31493375.69
Dim_05_1025,31524089.63
Dim_05_1026,31554803.57
Dim_05_1027,31585517.51
Dim_05_1028,31616231.45
Dim_05_1029,31646945.39
Dim_05_103,3205836.51
Dim_05_1030,31677659.33
Dim_05_1031,31708373.27
Dim_05_1032,31739087.21
Dim_05_1033,31769801.15
Dim_05_1034,31800515.1
Dim_05_1035,31831229.04
Dim_05_1036,31861942.98
Dim_05_1037,31892656.92
Dim_05_1038,31923370.86
Dim_05_1039,31954084.8
Dim_05_104,3236550.45
Dim_05_1040,31984798.74
Dim_05_1041,32015512.68
Dim_05_1042,32046226.62
Dim_05_1043,32076940.56
Dim_05_1044,32107654.5
Dim_05_1045,32138368.44
Dim_05_1046,32169082.38
Dim_05_1047,32199796.32
Dim_05_1048,32230510.26
Dim_05_1049,32261224.2
Dim_05_105,3267264.39
Dim_05_1050,32291938.14
Dim_05_1051,32322652.08
Dim_05_1052,32353366.02
Dim_05_1053,32384079.96
Dim_05_1054,32414793.9
Dim_05_1055,32445507.85
Dim_05_1056,32476221.79
Dim_05_1057,32506935.73
Dim_05_1058,32537649.67
Dim_05_1059,32568363.61
Dim_05_106,3297978.33
Dim_05_1060,32599077.55
Dim_05_1061,32629791.49
Dim_05_1062,32660505.43
Dim_05_1063,32691219.37
Dim_05_1064,32721933.31
Dim_05_1065,32752647.25
Dim_05_1066,32783361.19
Dim_05_1067,32814075.13
Dim_05_1068,32844789.07
Dim_05_1069,32875503.01
Dim_05_107,3328692.27
Dim_05_1070,32906216.95
Dim_05_1071,32936930.89
Dim_05_1072,32967644.83
Dim_05_1073,32998358.77
Dim_05_1074,33029072.71
Dim_05_1075,33059786.65
Dim_05_1076,33090500.6
Dim_05_1077,33121214.54
Dim_05_1078,33151928.48
Dim_05_1079,33182642.42
Dim_05_108,3359406.21
Dim_05_1080,33213356.36
Dim_05_1081,33244070.3
Dim_05_1082,33274784.24
Dim_05_1083,33305498.18
Dim_05_1084,33336212.12
Dim_05_1085,33366926.06
Dim_05_1086,33397640
Dim_05_1087,33428353.94
Dim_05_1088,33459067.88
Dim_05_1089,33489781.82
Dim_05_109,3390120.15
Dim_05_1090,33520495.76
Dim_05_1091,33551209.7
Dim_05_1092,33581923.64
Dim_05_1093,33612637.58
Dim_05_1094,33643351.52
Dim_05_1095,33674065.46
Dim_05_1096,33704779.4
Dim_05_1097,33735493.35
Dim_05_1098,33766207.29
Dim_05_1099,33796921.23
Dim_05_110,3420834.1
Dim_05_1100,33827635.17
Dim_05_1101,33858349.11
Dim_05_1102,33889063.05
Dim_05_1103,33919776.99
Dim_05_1104,33950490.93
Dim_05_1105,33981204.87
Dim_05_1106,34011918.81
Dim_05_1107,34042632.75
Dim_05_1108,34073346.69
Dim_05_1109,34104060.63
Dim_05_111,3451548.04
Dim_05_1110,34134774.57
Dim_05_1111,34165488.51
Dim_05_1112,34196202.45
Dim_05_1113,34226916.39
Dim_05_1114,34257630.33
Dim_05_1115,34288344.27
Dim_05_1116,34319058.21
Dim_05_1117,34349772.15
Dim_05_1118,34380486.1
Dim_05_1119,34411200.04
Dim_05_112,3482261.98
Dim_05_1120,34441913.98
Dim_05_1121,34472627.92
Dim_05_1122,34503341.86
Dim_05_1123,34534055.8
Dim_05_1124,34564769.74
Dim_05_1125,34595483.68
Dim_05_1126,34626197.62
Dim_05_1127,34656911.56
Dim_05_1128,34687625.5
Dim_05_1129,34718339.44
Dim_05_113,3512975.92
Dim_05_1130,34749053.38
Dim_05_1131,34779767.32
Dim_05_1132,34810481.26
Dim_05_1133,34841195.2
Dim_05_1134,34871909.14
Dim_05_1135,34902623.08
Dim_05_1136,34933337.02
Dim_05_1137,34964050.96
Dim_05_1138,34994764.9
Dim_05_1139,35025478.85
Dim_05_114,3543689.86
Dim_05_1140,35056192.79
Dim_05_1141,35086906.73
Dim_05_1142,35117620.67
Dim_05_1143,35148334.61
Dim_05_1144,35179048.55
Dim_05_1145,35209762.49
Dim_05_1146,35240476.43
Dim_05_1147,35271190.37
Dim_05_1148,35301904.31
Dim_05_1149,35332618.25
Dim_05_115,3574403.8
Dim_05_1150,35363332.19
Dim_05_1151,35394046.13
Dim_05_1152,35424760.07
Dim_05_1153,35455474.01
Dim_05_1154,35486187.95
Dim_05_1155,35516901.89
Dim_05_1156,35547615.83
Dim_05_1157,35578329.77
Dim_05_1158,35609043.71
Dim_05_1159,35639757.65
Dim_05_116,3605117.74
Dim_05_1160,35670471.6
Dim_05_1161,35701185.54
Dim_05_1162,35731899.48
Dim_05_1163,35762613.42
Dim_05_1164,35793327.36
Dim_05_1165,35824041.3
Dim_05_1166,35854755.24
Dim_05_1167,35885469.18
Dim_05_1168,35916183.12
Dim_05_1169,35946897.06
Dim_05_117,3635831.68
Dim_05_1170,35977611
Dim_05_1171,36008324.94
Dim_05_1172,36039038.88
Dim_05_1173,36069752.82
Dim_05_1174,36100466.76
Dim_05_1175,36131180.7
Dim_05_1176,36161894.64
Dim_05_1177,36192608.58
Dim_05_1178,36223322.52
Dim_05_1179,36254036.46
Dim_05_118,3666545.62
Dim_05_1180,36284750.4
Dim_05_1181,36315464.35
Dim_05_1182,36346178.29
Dim_05_1183,36376892.23
Dim_05_1184,36407606.17
Dim_05_1185,36438320.11
Dim_05_1186,36469034.05
Dim_05_1187,36499747.99
Dim_05_1188,36530461.93
Dim_05_1189,36561175.87
Dim_05_119,3697259.56
Dim_05_1190,36591889.81
Dim_05_1191,36622603.75
Dim_05_1192,36653317.69
Dim_05_1193,36684031.63
Dim_05_1194,36714745.57
Dim_05_1195,36745459.51
Dim_05_1196,36776173.45
Dim_05_1197,36806887.39
Dim_05_1198,36837601.33
Dim_05_1199,36868315.27
Dim_05_120,3727973.5
Dim_05_1200,36899029.21
Dim_05_1201,36929743.15
Dim_05_1202,36960457.1
Dim_05_1203,36991171.04
Dim_05_1204,37021884.98
Dim_05_1205,37052598.92
Dim_05_1206,37083312.86
Dim_05_1207,37114026.8
Dim_05_1208,37144740.74
Dim_05_1209,37175454.68
Dim_05_121,3758687.44
Dim_05_1210,37206168.62
Dim_05_1211,37236882.56
Dim_05_1212,37267596.5
Dim_05_1213,37298310.44
Dim_05_1214,37329024.38
Dim_05_1215,37359738.32
Dim_05_1216,37390452.26
Dim_05_1217,37421166.2
Dim_05_1218,37451880.14
Dim_05_1219,37482594.08
Dim_05_122,3789401.38
Dim_05_1220,37513308.02
Dim_05_1221,37544021.96
Dim_05_1222,37574735.9
Dim_05_1223,37605449.85
Dim_05_1224,37636163.79
Dim_05_1225,37666877.73
Dim_05_1226,37697591.67
Dim_05_1227,37728305.61
Dim_05_1228,37759019.55
Dim_05_1229,37789733.49
Dim_05_123,3820115.32
Dim_05_1230,37820447.43
Dim_05_1231,37851161.37
Dim_05_1232,37881875.31
Dim_05_1233,37912589.25
Dim_05_1234,37943303.19
Dim_05_1235,37974017.13
Dim_05_1236,38004731.07
Dim_05_1237,38035445.01
Dim_05_1238,38066158.95
Dim_05_1239,38096872.89
Dim_05_124,3850829.26
Dim_05_1240,38127586.83
Dim_05_1241,38158300.77
Dim_05_1242,38189014.71
Dim_05_1243,38219728.65
Dim_05_1244,38250442.6
Dim_05_1245,38281156.54
Dim_05_1246,38311870.48
Dim_05_1247,38342584.42
Dim_05_1248,38373298.36
Dim_05_1249,38404012.3
Dim_05_125,3881543.2
Dim_05_1250,38434726.24
Dim_05_1251,38465440.18
Dim_05_1252,38496154.12
Dim_05_1253,38526868.06
Dim_05_1254,38557582
Dim_05_1255,38588295.94
Dim_05_1256,38619009.88
Dim_05_1257,38649723.82
Dim_05_1258,38680437.76
Dim_05_1259,38711151.7
Dim_05_126,3912257.14
Dim_05_1260,38741865.64
Dim_05_1261,38772579.58
Dim_05_1262,38803293.52
Dim_05_1263,38834007.46
Dim_05_1264,38864721.4
Dim_05_1265,38895435.35
Dim_05_1266,38926149.29
Dim_05_1267,38956863.23
Dim_05_1268,38987577.17
Dim_05_1269,39018291.11
Dim_05_127,3942971.08
Dim_05_1270,39049005.05
Dim_05_1271,39079718.99
Dim_05_1272,39110432.93
Dim_05_1273,39141146.87
Dim_05_1274,39171860.81
Dim_05_1275,39202574.75
Dim_05_1276,39233288.69
Dim_05_1277,39264002.63
Dim_05_1278,39294716.57
Dim_05_1279,39325430.51
Dim_05_128,3973685.02
Dim_05_1280,39356144.45
Dim_05_1281,39386858.39
Dim_05_1282,39417572.33
Dim_05_1283,39448286.27
Dim_05_1284,39479000.21
Dim_05_1285,39509714.15
Dim_05_1286,39540428.1
Dim_05_1287,39571142.04
Dim_05_1288,39601855.98
Dim_05_1289,39632569.92
Dim_05_129,4004398.96
Dim_05_1290,39663283.86
Dim_05_1291,39693997.8
Dim_05_1292,39724711.74
Dim_05_1293,39755425.68
Dim_05_1294,39786139.62
Dim_05_1295,39816853.56
Dim_05_1296,39847567.5
Dim_05_1297,39878281.44
Dim_05_1298,39908995.38
