License_ID,State,Latitude
License_001,Auckland (7),-36.8495979309082
License_002,Bay Of Plenty (2),-37.982913970947266
License_003,Canterbury (4),-43.89790344238281
License_004,Gisborne (3),-39.638214111328125
License_005,Manawatu Wanganui (6),-41.1354866027832
License_006,Marlborough (1),-41.520992279052734
License_007,Nelson (1),-41.29258346557617
License_008,Northland (1),-35.71995162963867
License_009,Otago (3),-45.097312927246094
License_010,Southland (1),-46.409427642822266
License_011,Taranaki (1),-39.06419372558594
License_012,Auckland (7),-43.002479553222656
License_013,Bay Of Plenty (2),-43.372459411621094
License_014,Auckland (7),-43.74243927001953
License_015,Bay Of Plenty (2),-44.11241912841797
License_016,Canterbury (4),-44.48240280151367
License_017,Gisborne (3),-44.85238265991211
License_018,Manawatu Wanganui (6),-45.22236251831055
License_019,Marlborough (1),-45.592342376708984
License_020,Nelson (1),-45.96232223510742
License_021,Northland (1),-46.33230209350586
License_022,Otago (3),-46.7022819519043
License_023,Southland (1),-47.072261810302734
License_024,Taranaki (1),-47.44224166870117
License_025,Auckland (7),-47.81222152709961
License_026,Bay Of Plenty (2),-48.18220520019531
License_027,Auckland (7),-48.55218505859375
License_028,Bay Of Plenty (2),-48.92216491699219
License_029,Canterbury (4),-49.292144775390625
License_030,Gisborne (3),-49.66212463378906
License_031,Manawatu Wanganui (6),-50.0321044921875
License_032,Marlborough (1),-50.40208435058594
License_033,Nelson (1),-50.772064208984375
License_034,Northland (1),-51.14204406738281
License_035,Otago (3),-51.51202392578125
License_036,Southland (1),-51.88200759887695
License_037,Taranaki (1),-52.25198745727539
License_038,Auckland (7),-52.62196731567383
License_039,Bay Of Plenty (2),-52.991947174072266
License_040,Auckland (7),-53.3619270324707
License_041,Bay Of Plenty (2),-53.73190689086914
License_042,Canterbury (4),-54.10188674926758
License_043,Gisborne (3),-54.471866607666016
License_044,Manawatu Wanganui (6),-54.84184646606445
License_045,Marlborough (1),-55.21182632446289
License_046,Nelson (1),-55.581809997558594
License_047,Northland (1),-55.95178985595703
License_048,Otago (3),-56.32176971435547
License_049,Southland (1),-56.691749572753906
License_050,Taranaki (1),-57.061729431152344
License_051,Auckland (7),-57.43170928955078
License_052,Bay Of Plenty (2),-57.80168914794922
License_053,Auckland (7),-58.171669006347656
License_054,Bay Of Plenty (2),-58.541648864746094
License_055,Canterbury (4),-58.91162872314453
License_056,Gisborne (3),-59.281612396240234
License_057,Manawatu Wanganui (6),-59.65159225463867
License_058,Marlborough (1),-60.02157211303711
License_059,Nelson (1),-60.39155197143555
License_060,Northland (1),-60.761531829833984
License_061,Otago (3),-61.13151168823242
License_062,Southland (1),-61.50149154663086
License_063,Taranaki (1),-61.8714714050293
License_064,Auckland (7),-62.241451263427734
License_065,Bay Of Plenty (2),-62.61143112182617
License_066,Auckland (7),-62.981414794921875
License_067,Bay Of Plenty (2),-63.35139465332031
License_068,Canterbury (4),-63.72137451171875
License_069,Gisborne (3),-64.09135437011719
License_070,Manawatu Wanganui (6),-64.46133422851562
License_071,Marlborough (1),-64.83131408691406
License_072,Nelson (1),-65.2012939453125
License_073,Northland (1),-65.57127380371094
License_074,Otago (3),-65.94125366210938
License_075,Southland (1),-66.31123352050781
