vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,owner_id,price_id,Engine_ID,License_ID,Dim_01_id,Dim_02_id,Dim_03_id,Dim_04_id,Dim_05_id,Dim_06_id,Dim_07_id,Dim_08_id,Dim_09_id
1,Trailer,623,2021,BST2021D,Silver,2021-11-05,102,Owner1,price_1,Engine_001,License_001,Dim_01_001,Dim_02_001,Dim_03_001,Dim_04_001,Dim_05_001,Dim_06_001,Dim_07_001,Dim_08_001,Dim_09_001
2,Boat Trailer,623,2021,OUTBACK BOATS FT470,Silver,2021-12-13,105,Owner2,price_2,Engine_002,License_002,Dim_01_002,Dim_02_002,Dim_03_002,Dim_04_002,Dim_05_002,Dim_06_002,Dim_07_002,Dim_08_002,Dim_09_002
3,Boat Trailer,623,2021,ASD JETSKI,Silver,2022-02-13,102,Owner3,price_3,Engine_003,License_003,Dim_01_003,Dim_02_003,Dim_03_003,Dim_04_003,Dim_05_003,Dim_06_003,Dim_07_003,Dim_08_003,Dim_09_003
4,Trailer,623,2021,MSC 7X4,Silver,2021-11-13,106,Owner4,price_4,Engine_004,License_004,Dim_01_004,Dim_02_004,Dim_03_004,Dim_04_004,Dim_05_004,Dim_06_004,Dim_07_004,Dim_08_004,Dim_09_004
5,Trailer,623,2018,D-MAX 8X5,Silver,2022-01-10,102,Owner5,price_5,Engine_005,License_005,Dim_01_005,Dim_02_005,Dim_03_005,Dim_04_005,Dim_05_005,Dim_06_005,Dim_07_005,Dim_08_005,Dim_09_005
6,Roadbike,636,2005,YZF-R6T,Black,2021-12-31,102,Owner6,price_6,Engine_006,License_006,Dim_01_006,Dim_02_006,Dim_03_006,Dim_04_006,Dim_05_006,Dim_06_006,Dim_07_006,Dim_08_006,Dim_09_006
7,Trailer,623,2021,CAAR TRANSPORTER,Silver,2021-11-12,114,Owner7,price_7,Engine_007,License_007,Dim_01_007,Dim_02_007,Dim_03_007,Dim_04_007,Dim_05_007,Dim_06_007,Dim_07_007,Dim_08_007,Dim_09_007
8,Boat Trailer,623,2001,BOAT,Silver,2022-02-22,109,Owner8,price_8,Engine_008,License_008,Dim_01_008,Dim_02_008,Dim_03_008,Dim_04_008,Dim_05_008,Dim_06_008,Dim_07_008,Dim_08_008,Dim_09_008
9,Trailer,514,2021,"7X4-6"" 1000KG",Silver,2022-02-25,115,Owner9,price_9,Engine_009,License_009,Dim_01_009,Dim_02_009,Dim_03_009,Dim_04_009,Dim_05_009,Dim_06_009,Dim_07_009,Dim_08_009,Dim_09_009
10,Trailer,514,2020,8X4 TANDEM,Silver,2022-01-03,114,Owner10,price_10,Engine_010,License_010,Dim_01_010,Dim_02_010,Dim_03_010,Dim_04_010,Dim_05_010,Dim_06_010,Dim_07_010,Dim_08_010,Dim_09_010
11,Trailer,623,2018,HOMEBUILT,Silver,2021-10-15,108,Owner11,price_11,Engine_011,License_011,Dim_01_011,Dim_02_011,Dim_03_011,Dim_04_011,Dim_05_011,Dim_06_011,Dim_07_011,Dim_08_011,Dim_09_011
12,Trailer,538,2018,BRENT SMITH TRAILERS,Silver,2022-02-28,110,Owner12,price_12,Engine_012,License_012,Dim_01_012,Dim_02_012,Dim_03_012,Dim_04_012,Dim_05_012,Dim_06_012,Dim_07_012,Dim_08_012,Dim_09_012
13,Moped,629,2004,ET2,Black,2021-12-19,102,Owner13,price_13,Engine_013,License_013,Dim_01_013,Dim_02_013,Dim_03_013,Dim_04_013,Dim_05_013,Dim_06_013,Dim_07_013,Dim_08_013,Dim_09_013
14,Moped,550,2007,TODAY,Blue,2022-01-23,112,Owner14,price_14,Engine_014,License_014,Dim_01_014,Dim_02_014,Dim_03_014,Dim_04_014,Dim_05_014,Dim_06_014,Dim_07_014,Dim_08_014,Dim_09_014
15,Roadbike,611,2007,DL650,Black,2022-02-28,101,Owner15,price_15,Engine_015,License_015,Dim_01_015,Dim_02_015,Dim_03_015,Dim_04_015,Dim_05_015,Dim_06_015,Dim_07_015,Dim_08_015,Dim_09_015
16,Trailer,623,2021,JOBMATE,Silver,2022-02-08,109,Owner16,price_16,Engine_016,License_016,Dim_01_016,Dim_02_016,Dim_03_016,Dim_04_016,Dim_05_016,Dim_06_016,Dim_07_016,Dim_08_016,Dim_09_016
