price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
5086169,4706,3,2,1,yes,no,no,no,no,0,yes,unfurnished
2586000,7027,3,1,2,yes,no,no,no,yes,0,no,unfurnished
4288719,7033,3,1,1,yes,no,yes,no,no,1,no,unfurnished
3176966,7786,2,1,1,yes,no,no,no,yes,2,no,furnished
2161966,8455,3,1,1,yes,no,no,no,no,0,yes,unfurnished
2872403,4223,5,1,2,yes,no,no,no,yes,0,yes,unfurnished
2057513,2755,5,1,2,yes,no,no,no,yes,2,no,semi-furnished
5967945,3005,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
3315409,8734,3,1,1,yes,yes,no,no,yes,2,no,unfurnished
4422856,4556,3,2,2,yes,no,no,no,no,0,no,semi-furnished
3257390,3974,2,2,1,yes,no,no,no,no,0,no,semi-furnished
3556957,9088,6,1,1,yes,yes,yes,no,yes,2,no,semi-furnished
1750000,13268,3,2,1,yes,no,no,no,no,0,no,unfurnished
6728818,7699,1,1,2,yes,no,no,no,no,2,yes,semi-furnished
1967939,2424,3,1,4,yes,no,yes,no,yes,0,no,unfurnished
3981466,7395,3,2,1,yes,no,no,no,no,0,no,semi-furnished
4036486,5040,4,2,1,yes,no,no,no,no,2,yes,semi-furnished
7819173,3764,2,2,1,yes,no,no,no,no,1,yes,semi-furnished
3136709,6080,2,1,2,yes,no,no,no,yes,0,no,furnished
4321071,7559,3,1,4,yes,no,no,no,yes,2,no,furnished
4553454,4910,3,1,2,yes,no,no,no,yes,2,no,unfurnished
9180655,7661,5,1,2,yes,no,yes,no,no,1,yes,furnished
7425816,3542,3,2,4,no,no,no,no,no,0,no,furnished
3014086,6406,3,2,1,yes,no,no,no,yes,0,yes,semi-furnished
4160103,5826,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2153894,10928,4,2,1,no,yes,yes,no,yes,1,no,furnished
1750000,6118,3,1,1,yes,no,yes,no,no,2,no,furnished
2172910,5386,3,2,2,yes,no,yes,no,no,0,no,furnished
5086069,5225,5,2,1,no,no,yes,no,no,0,no,unfurnished
4230112,3234,4,1,1,yes,no,no,no,no,0,no,furnished
1750000,7155,4,1,1,no,no,no,no,yes,0,no,unfurnished
4519092,7882,4,1,1,yes,no,no,no,yes,0,yes,semi-furnished
2382556,7453,2,1,1,yes,no,no,no,yes,0,no,furnished
5110456,7687,2,1,2,no,no,no,no,yes,0,no,unfurnished
2127610,3833,3,1,1,no,yes,yes,no,no,1,no,furnished
3494436,3716,3,1,1,yes,no,no,yes,no,1,no,unfurnished
2590660,2910,3,1,1,yes,no,yes,no,no,1,no,furnished
5109704,4491,4,3,1,yes,no,no,no,no,0,no,unfurnished
2660487,4119,3,2,2,yes,no,no,no,no,0,no,unfurnished
3215678,5465,5,2,1,yes,no,no,no,yes,0,no,furnished
2410943,7386,2,1,2,yes,no,no,no,yes,2,no,semi-furnished
1750000,2929,3,1,1,no,yes,yes,no,no,0,no,unfurnished
1750000,3157,2,1,2,no,no,no,no,no,2,no,furnished
2715717,4167,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
1750000,8976,5,1,1,no,no,no,no,yes,1,no,unfurnished
3407406,8327,4,1,1,yes,yes,no,no,yes,0,no,unfurnished
2590823,2556,2,2,1,yes,no,no,no,yes,1,no,semi-furnished
2809906,2619,2,2,2,yes,no,no,no,yes,0,no,furnished
7910408,16200,6,1,1,no,no,no,no,yes,0,yes,unfurnished
2005834,4868,3,1,1,no,yes,no,no,yes,0,no,unfurnished
3668274,8819,3,2,1,yes,no,yes,no,yes,0,no,semi-furnished
5172221,4189,3,1,4,yes,no,no,no,no,0,yes,furnished
6195728,2911,4,1,2,yes,yes,yes,no,no,0,no,furnished
9339897,5592,3,2,2,yes,no,no,yes,yes,2,no,semi-furnished
3241399,5918,2,1,1,yes,no,no,yes,no,0,no,unfurnished
1750000,3698,3,2,1,no,no,yes,no,no,0,no,semi-furnished
1793964,6329,3,1,1,yes,no,yes,no,no,0,no,unfurnished
2590968,6146,6,1,1,no,no,yes,no,yes,0,no,unfurnished
7524088,8290,4,2,1,yes,no,yes,no,no,0,no,unfurnished
3761993,9547,3,2,1,yes,no,no,no,no,0,no,semi-furnished
2062354,7942,3,1,1,yes,no,no,yes,no,2,no,unfurnished
4029297,6656,4,1,1,yes,no,yes,no,no,0,yes,furnished
7278582,6091,2,1,1,yes,no,no,no,no,0,no,unfurnished
4976342,7819,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
1750000,5555,2,2,1,yes,no,yes,yes,no,2,yes,furnished
4484192,5702,4,1,1,yes,no,yes,no,no,0,no,furnished
2709919,4833,4,1,2,yes,no,no,yes,yes,0,no,unfurnished
2433760,4295,2,2,1,no,yes,no,no,no,2,no,furnished
1750000,6838,3,1,1,no,no,no,no,no,0,no,semi-furnished
2150842,2374,2,2,1,no,no,yes,no,yes,2,yes,semi-furnished
6258923,3683,2,1,4,yes,no,no,no,yes,0,no,furnished
1887425,5443,2,2,4,yes,no,no,yes,no,2,no,furnished
1882447,2434,2,1,1,yes,no,no,no,no,1,no,furnished
2992173,3464,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
1855047,2352,3,1,2,yes,no,no,no,yes,0,no,furnished
6461180,7440,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
6784624,12101,2,2,2,yes,no,no,no,yes,0,yes,unfurnished
5143324,9242,3,3,1,yes,no,no,no,yes,0,no,furnished
2297809,4861,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
9085941,5368,3,1,2,yes,no,no,no,no,2,yes,unfurnished
3013196,5867,4,2,1,yes,no,no,yes,yes,1,no,furnished
5235843,7652,3,1,4,no,yes,no,no,no,1,no,unfurnished
2764471,4662,3,1,2,yes,no,no,no,no,2,no,semi-furnished
5454558,7995,3,2,3,yes,no,no,no,no,1,no,semi-furnished
4023795,15895,2,2,2,no,no,yes,yes,no,0,no,semi-furnished
4366476,4150,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
3430563,16200,3,1,2,yes,no,no,no,yes,2,no,unfurnished
8761482,6891,3,2,2,no,yes,no,yes,yes,1,no,furnished
1750000,4899,2,1,2,yes,no,no,no,yes,0,no,semi-furnished
5877769,3071,3,1,2,yes,no,no,no,yes,0,no,unfurnished
1750000,3901,3,1,2,yes,no,no,yes,no,2,no,unfurnished
1750000,6951,3,1,1,yes,yes,no,no,yes,0,no,unfurnished
2450154,10376,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
4005954,4107,2,1,4,yes,no,no,no,no,0,yes,furnished
1750000,5135,2,2,1,no,no,no,no,no,2,no,furnished
2954188,5115,3,1,1,yes,no,no,no,yes,2,no,furnished
1750000,1650,3,1,2,no,no,no,no,no,0,no,furnished
2276266,8865,2,1,2,yes,yes,no,no,no,2,no,semi-furnished
2984646,7489,3,1,1,yes,no,yes,no,no,2,no,furnished
3100446,8992,3,2,1,yes,yes,no,no,yes,2,yes,semi-furnished
2386230,9292,3,2,2,no,no,yes,no,yes,0,no,unfurnished
4750492,6133,3,2,3,yes,no,yes,no,no,2,no,furnished
2404273,3087,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
5875321,5770,4,1,4,yes,no,no,no,yes,2,no,unfurnished
2846924,5102,3,1,1,yes,yes,no,no,yes,0,no,furnished
4454907,2881,2,3,1,yes,no,no,yes,yes,1,no,furnished
2767980,3197,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
1750000,2535,3,1,4,yes,no,no,yes,no,3,yes,semi-furnished
2535623,5381,3,1,1,yes,yes,yes,yes,no,1,no,semi-furnished
2952585,5265,2,1,2,yes,no,no,no,yes,1,no,furnished
3646645,4061,3,1,2,no,no,no,no,no,0,no,unfurnished
1750000,7753,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
1750000,8740,3,1,1,yes,yes,yes,no,no,2,no,unfurnished
4205869,11181,3,1,2,yes,no,no,no,no,0,no,semi-furnished
